scenario sanity OK for 8 w-tasks
[1/8] w1_payment_chain (arm D, tier Proven)...
    -> not solved (test_fail, 140s)
[2/8] w2_two_account_ledger (arm D, tier Proven)...
    -> SOLVED (pass, 115s)
[3/8] w3_session_otp (arm D, tier Proven)...
    -> SOLVED (pass, 161s)
[4/8] w4_order_placement (arm D, tier Proven)...
    -> SOLVED (pass, 91s)
[5/8] w5_currency_roundtrip (arm D, tier Proven)...
    -> SOLVED (pass, 179s)
[6/8] w6_crud_handler (arm D, tier Proven)...
    -> SOLVED (pass, 142s)
[7/8] w7_idempotency (arm D, tier Proven)...
    -> SOLVED (pass, 312s)
[8/8] w8_multi_currency_ledger (arm D, tier Proven)...
    -> not solved (test_run_error, 174s)
arm D: solved 6/8 | boundary_leaks 4/20 | escapes 5/20 | verify_s 16 | fallbacks 0
