scenario sanity OK for 8 w-tasks
[1/8] w1_payment_chain (arm W-enforce, tier Proven)...
    -> SOLVED (pass, 126s)
[2/8] w2_two_account_ledger (arm W-enforce, tier Proven)...
    -> SOLVED (pass, 142s)
[3/8] w3_session_otp (arm W-enforce, tier Contracted)...
    -> not solved (test_fail, 206s)
[4/8] w4_order_placement (arm W-enforce, tier Proven)...
    -> SOLVED (pass, 98s)
[5/8] w5_currency_roundtrip (arm W-enforce, tier Proven)...
    -> SOLVED (pass, 74s)
[6/8] w6_crud_handler (arm W-enforce, tier Tested)...
    -> SOLVED (pass, 69s)
[7/8] w7_idempotency (arm W-enforce, tier Proven)...
    -> SOLVED (pass, 118s)
[8/8] w8_multi_currency_ledger (arm W-enforce, tier Proven)...
    -> SOLVED (pass, 109s)
arm W-enforce: solved 7/8 | boundary_leaks 1/20 | escapes 1/20 | verify_s 14 | fallbacks 0
